timestamp,voltage,temperature,current,soc,dt_seconds,runtime_left_minutes,abs_current,power,voltage_lag1,current_lag1,temperature_lag1,avg_voltage_5,avg_current_5,avg_temp_5,d_voltage,d_current,d_temperature
56:28.3,20245,25,0,85,2.561457,,0,0,20245,0,25,20244,0,25,0,0,0
56:30.9,20245,25,0,85,2.635589,,0,0,20245,0,25,20244.4,0,25,0,0,0
56:33.5,20245,25,0,85,2.561891,,0,0,20245,0,25,20244.8,0,25,0,0,0
56:36.1,20245,25,0,85,2.61978,,0,0,20245,0,25,20245,0,25,0,0,0
56:38.7,20245,25,0,85,2.561267,,0,0,20245,0,25,20245,0,25,0,0,0
56:41.3,20245,25,0,85,2.631951,,0,0,20245,0,25,20245,0,25,0,0,0
56:43.9,20246,25,0,85,2.561533,,0,0,20245,0,25,20245.2,0,25,1,0,0
56:46.5,20246,25,0,85,2.62974,,0,0,20246,0,25,20245.4,0,25,0,0,0
56:49.0,20248,25,0,85,2.562069,,0,0,20246,0,25,20246,0,25,2,0,0
56:51.7,20247,25,0,85,2.632386,,0,0,20248,0,25,20246.4,0,25,-1,0,0
56:54.2,20248,25,0,85,2.563164,,0,0,20247,0,25,20247,0,25,1,0,0
56:56.9,20248,25,0,85,2.628454,,0,0,20248,0,25,20247.4,0,25,0,0,0
56:59.4,20248,25,0,85,2.562446,,0,0,20248,0,25,20247.8,0,25,0,0,0
57:02.1,20248,25,0,85,2.634812,,0,0,20248,0,25,20247.8,0,25,0,0,0
57:04.6,20249,25,0,85,2.563033,,0,0,20248,0,25,20248.2,0,25,1,0,0
57:07.3,20249,25,0,85,2.635943,,0,0,20249,0,25,20248.4,0,25,0,0,0
57:09.8,20249,25,0,85,2.563502,,0,0,20249,0,25,20248.6,0,25,0,0,0
57:12.5,20249,25,0,85,2.636997,,0,0,20249,0,25,20248.8,0,25,0,0,0
57:15.0,20249,25,0,85,2.563628,,0,0,20249,0,25,20249,0,25,0,0,0
57:17.7,20249,25,0,85,2.64108,,0,0,20249,0,25,20249,0,25,0,0,0
57:20.2,20249,25,0,85,2.564045,,0,0,20249,0,25,20249,0,25,0,0,0
57:22.9,20249,25,0,85,2.637342,,0,0,20249,0,25,20249,0,25,0,0,0
57:25.4,20249,25,0,85,2.564018,,0,0,20249,0,25,20249,0,25,0,0,0
57:28.1,20249,25,0,85,2.63011,,0,0,20249,0,25,20249,0,25,0,0,0
57:30.6,20249,25,0,85,2.564588,,0,0,20249,0,25,20249,0,25,0,0,0
57:33.3,20250,25,0,85,2.624959,,0,0,20249,0,25,20249.2,0,25,1,0,0
57:35.8,20250,25,1,85,2.565972,854249,1,20250,20250,0,25,20249.4,0.2,25,0,1,0
57:38.4,20250,25,1,85,2.613186,854249,1,20250,20250,1,25,20249.6,0.4,25,0,0,0
57:41.0,20250,25,1,85,2.565266,854249,1,20250,20250,1,25,20249.8,0.6,25,0,0,0
57:43.6,20250,25,0,85,2.640086,,0,0,20250,1,25,20250,0.6,25,0,-1,0
57:46.2,20252,25,0,85,2.56532,,0,0,20250,0,25,20250.4,0.6,25,2,0,0
57:48.8,20252,25,0,85,2.636026,,0,0,20252,0,25,20250.8,0.4,25,0,0,0
